key,ko,en,vi,comment
"contentStore.uploadCompleteUnauthorized","업로드 완료: 검토 대기","Upload complete: pending review","Tai len xong: dang cho review","Unity Content Store"
"contentStore.serverState.notUploaded","미등록","Not uploaded","Chua tai len","Unity Content Store"
"contentStore.serverState.serverVersionExists","서버 있음","Exists on server","Co tren server","Unity Content Store"
"contentStore.serverState.latest","최신","Latest","Moi nhat","Unity Content Store"
"contentStore.serverState.versionDiff","버전 다름","Version differs","Khac version","Unity Content Store"
"contentStore.serverState.contentDiff","내용 다름","Content differs","Khac noi dung","Unity Content Store"
"contentStore.serverState.deletedRevision","삭제된 버전","Deleted version","Phien ban da xoa","Unity Content Store"
"contentStore.serverState.unknown","확인 전","Not checked","Chua kiem tra","Unity Content Store"
"contentStore.kindCustom","Feature Variant","Feature Variant","Feature Variant","Unity Content Store"
"contentStore.kindBuiltin","기본","Built-in","Built-in","Unity Content Store"
"contentStore.kindFeature","기능","Feature","Feature","Unity Content Store"
"contentStore.kindContent","콘텐츠","Content","Content","Unity Content Store"
"contentStore.duplicatePackageSkipped","동일 packageId가 이미 업로드 목록에 있어 건너뜁니다.","Skipped because the same packageId is already in the upload list.","Bo qua vi cung packageId da co trong danh sach upload.","Unity Content Store"
"contentStore.catalogEntryMissing","Catalog entry를 찾지 못했습니다.","Could not find the catalog entry.","Khong tim thay catalog entry.","Unity Content Store"
"contentStore.entryMissing","entry가 없습니다.","Entry is missing.","Thieu entry.","Unity Content Store"
"contentStore.featureCategoryOnly","feature category만 업로드할 수 있습니다.","Only feature category can be uploaded.","Chi co the upload category feature.","Unity Content Store"
"contentStore.fileOutsideProjectRoot","파일이 project root 밖에 있습니다: {0}","File is outside the project root: {0}","File nam ngoai project root: {0}","Unity Content Store"
"contentStore.installedPathFolderMissing","installedPath 폴더를 찾지 못했습니다: {0}","Could not find installedPath folder: {0}","Khong tim thay thu muc installedPath: {0}","Unity Content Store"
"contentStore.installedPathFolderEmpty","installedPath 폴더가 비어 있습니다: {0}","installedPath folder is empty: {0}","Thu muc installedPath dang trong: {0}","Unity Content Store"
"contentStore.zipEntryOutsideInstalledPath","zip entry가 installedPath 밖을 가리킵니다: {0}","Zip entry points outside installedPath: {0}","Zip entry tro ra ngoai installedPath: {0}","Unity Content Store"
"contentStore.contentEntryMissing","content entry가 없습니다.","Content entry is missing.","Thieu content entry.","Unity Content Store"
"contentStore.scriptsFolderRequired","C# script가 포함된 content root에는 Scripts/ 폴더가 필요합니다.","A content root with C# scripts requires a Scripts/ folder.","Content root co C# script can thu muc Scripts/.","Unity Content Store"
"contentStore.asmdefRequired","C# script가 포함된 content root에는 Scripts/ 아래 asmdef가 필요합니다.","A content root with C# scripts requires an asmdef under Scripts/.","Content root co C# script can asmdef duoi Scripts/.","Unity Content Store"
"contentStore.scriptOutsideScriptsFolder","C# script는 content root 내부 Scripts/ 아래만 허용됩니다: {0}","C# scripts are only allowed under Scripts/ inside the content root: {0}","C# script chi duoc phep duoi Scripts/ trong content root: {0}","Unity Content Store"
"contentStore.editorScriptNotAllowed","Content Store 업로드는 Editor script를 허용하지 않습니다: {0}","Content Store uploads do not allow Editor scripts: {0}","Upload Content Store khong cho phep Editor script: {0}","Unity Content Store"
"contentStore.asmdefNameMissing","asmdef name이 비어 있습니다: {0}","asmdef name is empty: {0}","Ten asmdef dang trong: {0}","Unity Content Store"
"contentStore.asmdefNameUnityEditorNotAllowed","asmdef name에 UnityEditor를 사용할 수 없습니다: {0}","asmdef name cannot use UnityEditor: {0}","Ten asmdef khong duoc dung UnityEditor: {0}","Unity Content Store"
"contentStore.asmdefEditorPlatformNotAllowed","Content Store asmdef는 Editor 전용 includePlatforms를 허용하지 않습니다: {0}","Content Store asmdefs do not allow Editor-only includePlatforms: {0}","Asmdef Content Store khong cho phep includePlatforms chi Editor: {0}","Unity Content Store"
"contentStore.uploadMetadataMissing","업로드 metadata가 없습니다.","Upload metadata is missing.","Thieu metadata upload.","Unity Content Store"
"contentStore.requiredMetadataMissing","필수 metadata가 비어 있습니다.","Required metadata is empty.","Metadata bat buoc dang trong.","Unity Content Store"
"contentStore.unsupportedBoundary","지원하지 않는 boundary입니다: {0}","Unsupported boundary: {0}","Boundary khong duoc ho tro: {0}","Unity Content Store"
"contentStore.builtinCategoryOnly","Built-in 콘텐츠는 built-in category만 업로드할 수 있습니다: {0}","Built-in content can only upload built-in categories: {0}","Noi dung built-in chi co the upload category built-in: {0}","Unity Content Store"
"contentStore.featureCategoryRequired","Feature 콘텐츠는 category=feature여야 합니다.","Feature content must use category=feature.","Noi dung Feature phai co category=feature.","Unity Content Store"
"contentStore.installedPathMustBeUnder","installedPath는 {0} 아래여야 합니다.","installedPath must be under {0}.","installedPath phai nam duoi {0}.","Unity Content Store"
"contentStore.featureTypeRequired","Feature 콘텐츠에는 Feature Type이 필요합니다.","Feature content requires Feature Type.","Noi dung Feature can Feature Type.","Unity Content Store"
